"_time",plc,teller
"2015-06-08T23:44:14.121+0200","00009-Centraal.1",1095
"2015-06-08T23:43:52.615+0200","00009-Centraal.2",1094
"2015-06-08T23:43:23.428+0200","00009-Centraal.1",1095
"2015-06-08T23:43:20.558+0200","00009-Centraal.1",1094
"2015-06-08T23:43:08.017+0200","00009-Centraal.1",1093
"2015-06-08T23:43:01.912+0200","00009-Centraal.2",1092
"2015-06-08T23:42:59.076+0200","00009-Centraal.1",1093
"2015-06-08T23:42:59.061+0200","00009-Centraal.2",1092
"2015-06-08T23:42:53.796+0200","00009-Centraal.1",1093
"2015-06-08T23:42:46.491+0200","00009-Centraal.2",1092
"2015-06-08T23:42:45.676+0200","00009-Centraal.1",1093
"2015-06-08T23:42:44.096+0200","00009-Centraal.1",1092
"2015-06-08T23:42:40.815+0200","00009-Centraal.1",1091
"2015-06-08T23:42:39.615+0200","00009-Centraal.1",1090
"2015-06-08T23:42:37.580+0200","00009-Centraal.2",1089
"2015-06-08T23:42:35.140+0200","00009-Centraal.2",1090
"2015-06-08T23:42:31.900+0200","00009-Centraal.2",1091
"2015-06-08T23:42:24.599+0200","00009-Centraal.2",1092
"2015-06-08T23:42:22.569+0200","00009-Centraal.2",1093
"2015-06-08T23:42:22.554+0200","00009-Centraal.1",1094
"2015-06-08T23:42:20.129+0200","00009-Centraal.2",1093
"2015-06-08T23:42:17.689+0200","00009-Centraal.2",1094
"2015-06-08T23:42:10.424+0200","00009-Centraal.1",1095
"2015-06-08T23:42:01.478+0200","00009-Centraal.2",1094
"2015-06-08T23:42:00.258+0200","00009-Centraal.2",1095
"2015-06-08T23:41:58.628+0200","00009-Centraal.2",1096
"2015-06-08T23:41:57.018+0200","00009-Centraal.2",1097
"2015-06-08T23:41:55.798+0200","00009-Centraal.2",1098
"2015-06-08T23:41:49.317+0200","00009-Centraal.2",1099
"2015-06-08T23:40:51.689+0200","00009-Centraal.1",1100
"2015-06-08T23:40:47.239+0200","00009-Centraal.1",1099
"2015-06-08T23:40:41.989+0200","00009-Centraal.1",1098
"2015-06-08T23:40:30.203+0200","00009-Centraal.2",1097
"2015-06-08T23:40:25.743+0200","00009-Centraal.2",1098
"2015-06-08T23:40:21.292+0200","00009-Centraal.2",1099
"2015-06-08T23:40:09.137+0200","00009-Centraal.1",1100
